AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,SALE_COND,PARKING_FACIL,PRICE
Guindy,1308,184,2,2,Family,Yes,8300000
Chetpet,1512,7,4,3,Normal Sale,Yes,12800000
Chetpet,1317,176,3,1,Abnormal,Yes,8900000
Saidapet,1195,674,3,1,Normal Sale,NO,7100000
Mylapore,1454,134,4,4,Normal Sale,Yes,13900000
Saidapet,1008,95,3,2,Partial,Yes,6800000
Kodambakkam,1138,168,3,1,Normal Sale,NO,7800000
Velacherry,1059,73,2,1,Normal Sale,Yes,6500000
Egmore,1260,94,3,2,Partial,Yes,9100000
Besant Nagar,1430,590,4,2,Normal Sale,NO,12700000
Mylapore,1647,532,3,3,Partial,Yes,12200000
Chetpet,1565,409,4,3,Normal Sale,Yes,13400000
Porur,1148,783,3,2,Family,Yes,6400000
Anna Nagar,1934,365,3,3,Normal Sale,NO,15800000
Chromepet,1081,857,3,2,Normal Sale,Yes,5700000
Chetpet,1434,27,4,3,Normal Sale,Yes,12400000
Besant Nagar,1504,316,3,2,Normal Sale,Yes,12200000
Chetpet,1451,286,3,3,Normal Sale,Yes,12300000
T Nagar,1800,133,3,2,Normal Sale,NO,15500000
OMR,1539,100,3,2,Normal Sale,Yes,11300000
Saidapet,1051,345,3,2,Normal Sale,NO,7100000
Avadi,989,745,2,1,Normal Sale,Yes,4000000
Thiruvanmiyur,1302,151,2,1,Normal Sale,Yes,9500000
Egmore,939,27,1,1,Normal Sale,Yes,5600000
Egmore,1291,132,3,2,Normal Sale,Yes,9200000
Guindy,1219,31,3,2,Normal Sale,NO,10300000
Chromepet,1036,126,3,1,Normal Sale,Yes,6500000
Anna Nagar,1721,492,3,2,Abnormal,Yes,12700000
Adyar,1633,552,3,2,Normal Sale,Yes,14100000
Velacherry,1264,456,3,1,Abnormal,NO,7300000
Tambaram,959,38,2,1,Normal Sale,Yes,4400000
Avadi,550,247,2,1,Abnormal,Yes,1800000
Avadi,779,11,1,1,Partial,NO,2600000
Velacherry,1514,643,4,4,Abnormal,Yes,8700000
Saidapet,989,478,2,1,Normal Sale,Yes,5900000
Tambaram,915,446,2,1,Normal Sale,Yes,4500000
Adyar,1707,121,4,2,Normal Sale,Yes,16500000
OMR,1484,468,4,2,Abnormal,Yes,9500000
Perambur,1005,415,2,1,Normal Sale,Yes,4500000
Perambur,852,189,1,1,Normal Sale,Yes,3900000
Guindy,1290,163,2,2,Abnormal,Yes,8300000
Guindy,1418,2,3,2,Normal Sale,Yes,12000000
Chromepet,1114,42,2,1,Normal Sale,Yes,6100000
T Nagar,1557,284,4,2,Normal Sale,Yes,15900000
OMR,1229,169,2,2,Normal Sale,Yes,8500000
Anna Nagar,2115,77,4,2,Abnormal,Yes,18400000
Anna Nagar,1872,206,3,3,Normal Sale,NO,16000000
Avadi,730,175,1,1,Partial,Yes,2500000
Chetpet,1130,94,3,2,Normal Sale,Yes,9900000
Chetpet,1408,56,4,3,Normal Sale,Yes,12500000
Perambur,1048,151,3,1,Normal Sale,Yes,5600000
Velacherry,1140,284,3,2,Normal Sale,Yes,7700000
Perambur,811,113,1,1,Normal Sale,NO,3600000
Egmore,1088,58,3,1,Normal Sale,Yes,8200000
Thiruvanmiyur,1324,39,3,1,Normal Sale,Yes,10400000
Avadi,926,24,2,2,Normal Sale,Yes,3900000
Egmore,1322,32,3,1,Partial,Yes,8600000
Kodambakkam,1170,336,2,1,Partial,Yes,7200000
Saidapet,1094,585,3,2,Normal Sale,Yes,7400000
Anna Nagar,1825,373,4,3,Normal Sale,Yes,18400000
Avadi,721,64,1,2,Normal Sale,Yes,2600000
Besant Nagar,1374,285,3,2,Normal Sale,NO,10400000
Chromepet,953,7,1,1,Normal Sale,Yes,4600000
Mylapore,1422,838,4,2,Partial,Yes,11900000
Velacherry,1407,143,3,2,Normal Sale,NO,8900000
Avadi,788,15,1,2,Partial,Yes,2800000
OMR,1262,138,3,2,Normal Sale,Yes,9200000
Kodambakkam,962,328,1,1,Abnormal,Yes,5300000
Guindy,1360,512,3,1,Partial,Yes,9300000
Guindy,1022,302,2,1,Normal Sale,NO,7200000
Kodambakkam,1206,383,2,1,Normal Sale,Yes,8500000
Anna Nagar,1575,39,3,3,Normal Sale,NO,13200000
Perambur,878,467,1,1,Normal Sale,Yes,4100000
Egmore,1329,34,2,2,Normal Sale,Yes,9000000
Chetpet,1546,84,4,2,Normal Sale,Yes,14600000
Adyar,1384,388,2,1,Normal Sale,Yes,10600000
T Nagar,1703,584,3,4,Normal Sale,Yes,15200000
OMR,1124,35,2,2,Normal Sale,Yes,6900000
Porur,1099,151,2,1,Normal Sale,Yes,6800000
Anna Nagar,1873,37,3,2,Normal Sale,Yes,17000000
Anna Nagar,2108,689,4,2,Normal Sale,NO,19300000
Anna Nagar,1698,38,3,2,Normal Sale,Yes,16100000
Velacherry,1339,784,2,2,Abnormal,Yes,6600000
Chromepet,1071,228,2,1,Normal Sale,Yes,6000000
Avadi,658,142,2,1,Normal Sale,NO,2800000
Mylapore,1324,357,3,2,Normal Sale,NO,11800000
Tambaram,854,105,2,1,Normal Sale,Yes,4000000
Velacherry,1081,7,3,2,Normal Sale,Yes,7900000
OMR,1169,17,3,1,Normal Sale,Yes,8800000
Tambaram,894,231,1,2,Partial,NO,3300000
Tambaram,998,292,2,1,Normal Sale,Yes,4700000
Guindy,1310,294,2,1,Family,Yes,9200000
Anna Nagar,1342,379,3,1,Normal Sale,Yes,12700000
Porur,873,17,1,2,Abnormal,Yes,4100000
Avadi,705,193,2,2,Normal Sale,Yes,2900000
Thiruvanmiyur,1484,4,3,2,Normal Sale,NO,11100000
Chromepet,1056,347,3,2,Partial,Yes,5900000
Chromepet,1188,22,3,2,Normal Sale,Yes,7100000
Chetpet,1241,532,3,1,Normal Sale,Yes,10100000
Saidapet,858,371,2,1,Partial,Yes,5200000
Chromepet,1023,592,3,2,Normal Sale,Yes,6000000
Nungambakkam,1349,314,2,2,Normal Sale,Yes,12000000
Kodambakkam,1081,628,2,1,Normal Sale,Yes,6900000
Guindy,1334,79,2,1,Normal Sale,Yes,10100000
Besant Nagar,1301,490,2,2,Normal Sale,Yes,10800000
Chetpet,1542,583,3,4,Abnormal,Yes,10800000
Anna Nagar,1675,252,3,2,Normal Sale,NO,14300000
Saidapet,1055,239,2,2,Partial,NO,6100000
Chetpet,1639,47,4,4,Abnormal,Yes,11700000
Egmore,1294,73,2,2,Normal Sale,Yes,9500000
Kodambakkam,1203,113,3,1,Normal Sale,NO,9100000
Nungambakkam,1544,94,4,2,Normal Sale,Yes,15700000
Tambaram,1037,499,3,2,Normal Sale,Yes,5000000
Avadi,695,164,1,1,Normal Sale,Yes,2700000
Velacherry,1330,197,2,2,Normal Sale,Yes,8500000
OMR,1385,369,3,1,Normal Sale,Yes,9100000
Thiruvanmiyur,1388,65,2,2,Normal Sale,NO,10600000
Mylapore,1307,6,2,1,Normal Sale,Yes,10200000
Anna Nagar,1729,1000,4,3,Abnormal,Yes,12000000
Besant Nagar,1222,135,3,2,Normal Sale,Yes,10300000
Egmore,953,451,2,2,Normal Sale,Yes,6200000
Kodambakkam,1113,128,3,1,Normal Sale,Yes,8300000
Nungambakkam,1167,114,2,2,Normal Sale,Yes,10000000
Porur,1109,434,3,2,Abnormal,NO,5100000
Velacherry,1255,76,2,1,Normal Sale,NO,7300000
Chromepet,705,54,1,1,Normal Sale,Yes,3400000
Chromepet,879,323,1,1,Normal Sale,NO,4000000
Anna Nagar,1603,769,3,3,Normal Sale,NO,13500000
Guindy,1313,178,3,1,Abnormal,NO,9300000
Thiruvanmiyur,1153,130,2,2,Partial,NO,7600000
Saidapet,1115,43,2,2,Normal Sale,Yes,7600000
Guindy,1303,15,3,1,Normal Sale,NO,10600000
Tambaram,882,373,2,2,Normal Sale,NO,3800000
Perambur,912,35,1,2,Partial,NO,3700000
Guindy,1380,95,2,2,Normal Sale,Yes,10400000
Chromepet,1200,101,2,2,Normal Sale,Yes,6500000
Chetpet,1271,26,2,2,Partial,Yes,9300000
Anna Nagar,2007,53,4,2,Normal Sale,Yes,18000000
Tambaram,1037,139,2,1,Normal Sale,NO,4600000
Chetpet,1208,606,3,1,Normal Sale,Yes,10000000
Velacherry,1254,604,3,2,Normal Sale,NO,8200000
Tambaram,859,63,2,2,Normal Sale,NO,4300000
Mylapore,1497,301,3,2,Normal Sale,Yes,13300000
OMR,1368,100,3,2,Normal Sale,NO,9000000
Saidapet,1223,78,3,1,Normal Sale,Yes,8700000
Nungambakkam,1322,277,2,1,Normal Sale,Yes,10900000
Avadi,873,923,2,2,Normal Sale,Yes,3400000
Anna Nagar,2228,449,4,3,Normal Sale,Yes,20400000
Chetpet,1200,313,3,2,Normal Sale,Yes,10500000
Chetpet,1566,117,4,2,Normal Sale,Yes,13000000
Tambaram,861,306,1,1,Abnormal,Yes,3200000
Chetpet,1289,428,3,2,Normal Sale,Yes,11100000
Velacherry,1491,201,3,3,Normal Sale,Yes,9800000
Velacherry,1153,51,2,1,Normal Sale,NO,7300000
Thiruvanmiyur,1309,116,2,2,Normal Sale,NO,8900000
Porur,1312,175,2,1,Normal Sale,Yes,7800000
Perambur,979,250,1,1,Normal Sale,Yes,4400000
T Nagar,1486,214,3,3,Normal Sale,Yes,13200000
Besant Nagar,1375,1,2,2,Normal Sale,Yes,10900000
T Nagar,1691,447,4,3,Normal Sale,NO,16300000
Saidapet,855,87,1,1,Abnormal,Yes,4200000
Besant Nagar,1242,310,2,2,Normal Sale,Yes,10600000
Kodambakkam,1068,182,2,2,Partial,Yes,7100000
Guindy,1494,128,3,4,Normal Sale,NO,12500000
Nungambakkam,1688,127,4,4,Normal Sale,Yes,15900000
Nungambakkam,1553,108,4,2,Normal Sale,Yes,15700000
Anna Nagar,1922,283,3,2,Partial,Yes,16300000
Porur,1126,495,2,2,Normal Sale,Yes,6700000
T Nagar,1550,106,3,4,Partial,Yes,12700000
Besant Nagar,1322,102,2,2,Normal Sale,Yes,10000000
Avadi,710,127,1,2,Normal Sale,Yes,2700000
Tambaram,978,92,2,1,Normal Sale,Yes,4700000
Egmore,1322,138,3,1,Normal Sale,Yes,9200000
Anna Nagar,1850,602,4,3,Partial,Yes,14900000
Thiruvanmiyur,1130,72,3,2,Normal Sale,Yes,8700000
Guindy,1300,207,3,1,Partial,Yes,9200000
Egmore,1158,151,2,1,Normal Sale,NO,7300000
Chromepet,1058,73,3,2,Normal Sale,NO,6400000
Kodambakkam,972,218,1,1,Partial,NO,5400000
Guindy,978,315,2,1,Normal Sale,Yes,6800000
Thiruvanmiyur,1268,108,3,2,Normal Sale,Yes,9700000
Porur,937,48,2,2,Partial,NO,5100000
Nungambakkam,1314,64,3,2,Normal Sale,Yes,12900000
Besant Nagar,1157,100,2,1,Abnormal,NO,7700000
Besant Nagar,1336,240,3,1,Normal Sale,Yes,11300000
Chetpet,1612,232,4,4,Abnormal,Yes,11800000
Mylapore,1787,598,4,3,Partial,Yes,15100000
Chromepet,1175,1000,3,1,Normal Sale,Yes,6000000
Saidapet,1127,95,3,1,Partial,Yes,7000000
Perambur,1090,33,2,2,Normal Sale,Yes,5500000
Perambur,988,198,1,1,Normal Sale,Yes,4100000
Nungambakkam,1260,34,3,1,Normal Sale,Yes,11600000
Mylapore,1629,223,3,4,Normal Sale,Yes,13300000
Adyar,1954,601,3,2,Normal Sale,Yes,17800000
Mylapore,1251,84,3,1,Normal Sale,NO,10900000
Mylapore,1196,290,2,2,Normal Sale,Yes,9900000
Guindy,1287,144,2,2,Normal Sale,Yes,9200000
T Nagar,1346,69,2,2,Normal Sale,NO,10600000
Kodambakkam,1219,473,2,2,Normal Sale,Yes,8900000
Chetpet,1502,365,4,2,Partial,NO,12200000
OMR,1667,296,4,3,Normal Sale,Yes,12600000
Kodambakkam,1372,184,2,2,Partial,Yes,9000000
Saidapet,888,268,1,2,Normal Sale,Yes,4900000
Egmore,1047,40,3,1,Partial,Yes,7000000
Thiruvanmiyur,1342,182,2,1,Normal Sale,Yes,9500000
Saidapet,1251,235,3,2,Normal Sale,Yes,8600000
Kodambakkam,955,195,1,1,Partial,Yes,6000000
Chromepet,986,4,2,2,Normal Sale,Yes,5200000
Besant Nagar,1194,11,3,2,Normal Sale,Yes,10400000
Chetpet,1487,721,4,4,Normal Sale,Yes,12300000
Kodambakkam,1031,1000,3,2,Partial,NO,6100000
Saidapet,831,283,1,1,Partial,Yes,4300000
Chetpet,1515,422,4,2,Normal Sale,NO,13000000
Velacherry,1173,84,3,1,Normal Sale,Yes,8400000
Tambaram,904,85,2,1,Partial,Yes,4200000
Porur,1041,207,3,2,Partial,Yes,5700000
Guindy,1413,42,3,3,Normal Sale,NO,11900000
Kodambakkam,1008,87,2,2,Normal Sale,Yes,6800000
Velacherry,1231,305,2,1,Normal Sale,Yes,8200000
Velacherry,1151,117,2,2,Partial,Yes,7100000
Chetpet,1362,3,2,1,Normal Sale,NO,9500000
Guindy,1544,197,3,3,Normal Sale,Yes,13300000
T Nagar,1581,93,4,4,Normal Sale,Yes,16400000
Porur,934,293,1,2,Normal Sale,Yes,5300000
Nungambakkam,1393,195,2,2,Normal Sale,NO,10400000
Guindy,1066,53,2,1,Normal Sale,Yes,8600000
T Nagar,1753,271,4,3,Partial,Yes,15800000
Mylapore,1697,206,3,3,Normal Sale,NO,13200000
Mylapore,1384,28,2,1,Normal Sale,Yes,11400000
Adyar,1583,180,3,2,Normal Sale,Yes,14900000
Egmore,1119,265,2,1,Normal Sale,Yes,7000000
Anna Nagar,1653,40,4,4,Normal Sale,NO,14600000
Tambaram,967,14,2,1,Normal Sale,NO,4200000
Chromepet,1008,32,3,2,Normal Sale,Yes,5800000
Saidapet,1044,220,3,1,Normal Sale,Yes,6800000
Avadi,944,752,1,1,Normal Sale,Yes,3100000
Thiruvanmiyur,1162,79,2,1,Abnormal,NO,6900000
Nungambakkam,1258,8,3,1,Normal Sale,Yes,11600000
Thiruvanmiyur,1345,19,3,1,Normal Sale,Yes,10800000
Nungambakkam,1264,234,3,1,Normal Sale,Yes,11000000
Porur,1139,140,2,2,Partial,Yes,6200000
Chetpet,1524,215,3,2,Normal Sale,Yes,12800000
Mylapore,1394,27,3,2,Normal Sale,Yes,12400000
OMR,1405,178,3,2,Normal Sale,NO,9900000
Porur,861,4,2,1,Normal Sale,Yes,4700000
Chetpet,1296,113,3,1,Normal Sale,Yes,10800000
Adyar,1851,82,3,4,Normal Sale,Yes,16500000
Nungambakkam,1534,47,4,2,Family,Yes,14300000
Tambaram,840,120,1,2,Abnormal,Yes,3300000
OMR,1537,142,3,4,Normal Sale,Yes,11400000
Adyar,1641,489,3,2,Normal Sale,NO,14400000
Thiruvanmiyur,1429,534,3,2,Normal Sale,Yes,10400000
Perambur,1086,169,2,1,Normal Sale,Yes,5300000
Egmore,1254,429,2,2,Normal Sale,Yes,8800000
Tambaram,732,13,2,2,Abnormal,Yes,3100000
Kodambakkam,1084,83,3,1,Partial,Yes,7600000
Avadi,929,408,1,1,Abnormal,Yes,2800000
Kodambakkam,1148,107,3,1,Normal Sale,Yes,8900000
Nungambakkam,1232,911,2,1,Normal Sale,Yes,9600000
Egmore,1123,1000,3,2,Normal Sale,Yes,7100000
Avadi,761,256,1,2,Normal Sale,Yes,2700000
Porur,1213,445,3,1,Normal Sale,Yes,7700000
Mylapore,1330,73,2,1,Normal Sale,Yes,10700000
Porur,1233,196,2,1,Partial,Yes,7100000
Tambaram,922,161,2,1,Normal Sale,Yes,4200000
Egmore,1211,358,3,2,Normal Sale,Yes,9000000
Adyar,1936,459,3,2,Normal Sale,Yes,15700000
Chetpet,1362,43,2,2,Normal Sale,Yes,9900000
Thiruvanmiyur,1402,24,4,2,Normal Sale,Yes,11400000
Avadi,662,192,1,2,Normal Sale,NO,2500000
Nungambakkam,1277,86,2,2,Normal Sale,Yes,11700000
Mylapore,1604,187,4,2,Normal Sale,Yes,14900000
Besant Nagar,1165,41,3,1,Partial,Yes,9400000
Saidapet,1096,48,2,2,Normal Sale,Yes,7400000
Avadi,768,16,1,2,Partial,Yes,2800000
Tambaram,912,233,1,2,Normal Sale,NO,3700000
Kodambakkam,1105,505,2,2,Abnormal,Yes,6300000
Velacherry,1398,217,2,2,Normal Sale,NO,7900000
Kodambakkam,1110,303,2,2,Partial,Yes,6900000
Mylapore,1560,198,3,3,Normal Sale,Yes,13600000
Thiruvanmiyur,1016,75,3,2,Abnormal,Yes,7200000
Kodambakkam,762,280,1,1,Abnormal,Yes,4000000
Saidapet,1044,280,2,2,Normal Sale,Yes,6900000
Velacherry,1266,194,3,2,Normal Sale,Yes,8700000
Nungambakkam,1599,972,4,4,Family,Yes,13500000
Anna Nagar,1915,113,4,3,Abnormal,NO,14700000
Nungambakkam,1226,117,3,1,Normal Sale,Yes,11800000
T Nagar,1821,625,4,3,Normal Sale,Yes,16100000
Nungambakkam,1560,103,3,2,Normal Sale,NO,12900000
Tambaram,857,19,1,1,Normal Sale,Yes,4200000
Chetpet,1612,321,4,4,Normal Sale,Yes,14500000
Velacherry,1133,593,3,2,Partial,Yes,6800000
Nungambakkam,1064,262,2,2,Normal Sale,Yes,9200000
Adyar,1614,472,4,4,Normal Sale,Yes,16200000
Nungambakkam,1470,462,3,2,Abnormal,Yes,10700000
Perambur,847,80,2,2,Partial,NO,3400000
Anna Nagar,1562,213,3,3,Normal Sale,NO,14200000
Anna Nagar,1998,341,4,2,Normal Sale,Yes,17700000
Velacherry,1316,30,2,1,Normal Sale,Yes,9300000
Guindy,1363,13,2,2,Partial,Yes,10000000
Porur,1008,244,3,1,Normal Sale,Yes,6100000
Egmore,1305,42,3,1,Normal Sale,Yes,9700000
Egmore,1511,107,3,3,Normal Sale,Yes,11700000
Tambaram,860,638,2,2,Partial,Yes,3700000
Nungambakkam,1353,190,2,2,Normal Sale,NO,11700000
Tambaram,1053,67,2,1,Partial,Yes,4900000
Chromepet,849,316,1,1,Normal Sale,NO,4200000
Thiruvanmiyur,1230,179,2,2,Normal Sale,NO,8400000
Chetpet,1325,163,2,1,Normal Sale,Yes,10800000
Kodambakkam,1045,611,2,1,Partial,Yes,6700000
Saidapet,1238,232,3,2,Normal Sale,Yes,8500000
Nungambakkam,1448,143,3,4,Normal Sale,Yes,13700000
Anna Nagar,1883,105,4,2,Normal Sale,NO,17500000
Nungambakkam,1466,559,4,4,Normal Sale,Yes,14700000
Anna Nagar,1570,218,4,2,Family,Yes,13200000
Porur,880,287,1,2,Partial,Yes,4500000
Porur,1149,208,2,2,Abnormal,Yes,5700000
Adyar,1674,29,3,2,Partial,Yes,14500000
Kodambakkam,938,408,2,1,Normal Sale,Yes,6800000
Porur,952,163,2,1,Normal Sale,Yes,5600000
Nungambakkam,1566,21,3,2,Normal Sale,Yes,14600000
Mylapore,1648,162,3,4,Normal Sale,Yes,14600000
Mylapore,1648,212,4,4,Normal Sale,Yes,15000000
Adyar,1866,672,4,2,Normal Sale,Yes,16100000
Anna Nagar,1691,321,3,2,Partial,Yes,14600000
Chromepet,995,322,1,2,Family,NO,4500000
Saidapet,1268,297,3,2,Partial,Yes,8500000
Porur,934,50,1,1,Abnormal,NO,4200000
OMR,1415,27,4,2,Abnormal,Yes,9300000
Mylapore,1649,42,4,4,Normal Sale,Yes,17100000
Adyar,1894,13,4,2,Normal Sale,Yes,19600000
Porur,1294,337,3,2,Normal Sale,NO,7100000
Saidapet,1404,36,4,2,Normal Sale,Yes,9900000
Thiruvanmiyur,1131,109,2,2,Normal Sale,NO,8000000
Adyar,1791,52,3,4,Partial,Yes,14800000
Perambur,971,182,1,1,Normal Sale,NO,4200000
Saidapet,1032,97,2,1,Normal Sale,Yes,6300000
Kodambakkam,1052,774,3,1,Partial,NO,6100000
Guindy,1424,295,4,2,Family,Yes,11400000
Perambur,749,410,2,2,Normal Sale,Yes,3800000
Kodambakkam,1154,462,2,1,Normal Sale,Yes,7800000
Mylapore,1615,384,4,2,Normal Sale,Yes,15200000
Mylapore,1423,607,4,4,Partial,Yes,12100000
Egmore,1426,526,4,2,Normal Sale,Yes,10700000
Saidapet,1159,873,2,1,Abnormal,Yes,5500000
Mylapore,1172,210,3,2,Normal Sale,NO,10000000
Chetpet,1121,172,2,1,Normal Sale,Yes,9000000
T Nagar,1848,57,4,4,Normal Sale,Yes,17100000
Saidapet,1148,131,2,2,Normal Sale,Yes,7400000
Velacherry,1247,121,2,2,Partial,Yes,7100000
Nungambakkam,1482,267,4,4,Abnormal,Yes,13000000
Porur,954,70,2,1,Abnormal,Yes,4500000
Nungambakkam,1542,154,3,2,Partial,Yes,12200000
Perambur,945,44,2,2,Normal Sale,Yes,4500000
Mylapore,1443,146,3,3,Normal Sale,Yes,13600000
Mylapore,1445,312,3,4,Normal Sale,NO,12600000
Velacherry,1129,222,3,2,Normal Sale,Yes,7300000
Perambur,999,357,2,1,Normal Sale,Yes,4700000
Mylapore,1556,1000,3,3,Normal Sale,NO,12300000
Saidapet,1106,72,3,1,Abnormal,Yes,6100000
Kodambakkam,1371,24,2,2,Normal Sale,Yes,9100000
OMR,1561,109,3,2,Abnormal,NO,8600000
Porur,1090,115,2,1,Normal Sale,Yes,6400000
Guindy,1237,313,3,1,Abnormal,Yes,8100000
Nungambakkam,1481,571,4,4,Normal Sale,Yes,14700000
T Nagar,1593,471,4,4,Abnormal,Yes,13700000
Perambur,909,539,2,1,Abnormal,Yes,3700000
Tambaram,919,64,1,2,Normal Sale,NO,3800000
Velacherry,1463,980,3,2,Normal Sale,Yes,9900000
Chetpet,1386,158,3,2,Normal Sale,Yes,11700000
Velacherry,1195,466,2,2,Normal Sale,Yes,7100000
Mylapore,1391,465,2,2,Normal Sale,Yes,10500000
Chromepet,884,141,2,2,Normal Sale,NO,5000000
Porur,993,4,1,2,Normal Sale,Yes,5600000
Porur,1250,375,3,2,Partial,Yes,7000000
Besant Nagar,1386,123,3,2,Normal Sale,Yes,12600000
Avadi,664,107,2,1,Normal Sale,Yes,2900000
OMR,1528,764,4,4,Abnormal,Yes,9200000
Saidapet,1163,84,2,2,Normal Sale,Yes,7900000
Chetpet,1298,476,3,2,Normal Sale,Yes,9700000
Porur,1142,104,2,2,Partial,Yes,6100000
Perambur,894,73,2,1,Partial,Yes,4000000
Guindy,1580,706,4,4,Normal Sale,Yes,14000000
Kodambakkam,1137,260,3,1,Abnormal,NO,7100000
Thiruvanmiyur,1277,60,3,1,Abnormal,Yes,9300000
T Nagar,1549,176,4,3,Normal Sale,NO,15300000
Besant Nagar,1293,272,3,2,Normal Sale,Yes,11200000
Saidapet,1078,57,3,1,Normal Sale,NO,6700000
Chromepet,984,56,2,1,Normal Sale,Yes,5300000
OMR,1435,4,4,3,Normal Sale,Yes,10700000
Anna Nagar,1497,142,3,3,Normal Sale,Yes,13800000
Nungambakkam,1377,124,2,1,Family,NO,10200000
Avadi,844,456,2,2,Normal Sale,Yes,3600000
Saidapet,1088,17,3,2,Family,Yes,7000000
Avadi,868,125,1,2,Normal Sale,NO,3100000
Nungambakkam,1238,16,2,1,Abnormal,Yes,8500000
Chromepet,1034,40,2,2,Normal Sale,NO,5900000
Chromepet,905,216,1,2,Normal Sale,Yes,4500000
Chromepet,1258,107,2,1,Normal Sale,Yes,7000000
Kodambakkam,1268,210,3,1,Abnormal,NO,7200000
Thiruvanmiyur,1354,499,2,2,Abnormal,Yes,8700000
Mylapore,1199,233,3,2,Normal Sale,Yes,11000000
OMR,1266,493,3,1,Family,Yes,7600000
Egmore,1232,255,2,1,Normal Sale,Yes,8200000
T Nagar,1509,481,4,2,Normal Sale,Yes,14900000
Chetpet,1170,122,3,2,Abnormal,Yes,7700000
Adyar,1594,249,4,2,Normal Sale,Yes,14900000
Porur,1069,786,2,2,Normal Sale,Yes,6000000
Avadi,842,454,2,2,Partial,Yes,3000000
Tambaram,738,101,1,2,Normal Sale,Yes,3300000
Porur,835,38,1,2,Normal Sale,Yes,4600000
Porur,1046,128,2,2,Normal Sale,Yes,6400000
Porur,1056,341,3,1,Normal Sale,Yes,6400000
Velacherry,1246,10,2,2,Normal Sale,Yes,8100000
Saidapet,1099,202,3,1,Family,Yes,6100000
Adyar,1610,647,4,4,Normal Sale,Yes,14100000
T Nagar,1586,732,4,4,Normal Sale,Yes,14600000
Kodambakkam,976,85,1,2,Normal Sale,Yes,6800000
Velacherry,1035,1000,2,1,Normal Sale,Yes,5900000
Velacherry,1146,64,2,2,Normal Sale,Yes,7900000
Anna Nagar,1715,155,4,2,Normal Sale,Yes,16300000
Perambur,851,630,2,2,Partial,NO,3600000
Nungambakkam,1347,380,2,2,Normal Sale,Yes,11500000
Egmore,1355,332,3,2,Normal Sale,Yes,10100000
Saidapet,1223,150,2,1,Normal Sale,NO,7500000
Nungambakkam,1243,22,3,2,Partial,Yes,10000000
Besant Nagar,1198,203,3,2,Normal Sale,Yes,10600000
Chromepet,1171,60,2,2,Normal Sale,Yes,6400000
Thiruvanmiyur,1237,866,3,2,Partial,Yes,8500000
Nungambakkam,1450,694,3,4,Family,Yes,11200000
Guindy,1212,151,2,1,Normal Sale,NO,8000000
Perambur,874,175,1,1,Normal Sale,Yes,4000000
Chromepet,1213,398,3,1,Normal Sale,Yes,7400000
Besant Nagar,1388,151,3,1,Partial,Yes,11900000
Nungambakkam,1504,284,3,3,Normal Sale,NO,12900000
Saidapet,1079,259,2,2,Normal Sale,Yes,7200000
Egmore,1442,163,3,2,Partial,Yes,9300000
Adyar,1810,96,4,2,Normal Sale,Yes,17400000
OMR,1192,250,3,2,Partial,Yes,7400000
Nungambakkam,1499,31,4,2,Normal Sale,NO,14500000
Saidapet,1120,469,3,1,Normal Sale,Yes,6900000
Anna Nagar,2190,604,3,2,Normal Sale,NO,17000000
Nungambakkam,1632,184,3,2,Normal Sale,Yes,15400000
Besant Nagar,1123,201,3,1,Partial,NO,8600000
Adyar,1207,37,2,1,Normal Sale,NO,9500000
Chromepet,983,856,2,2,Normal Sale,Yes,5000000
Velacherry,1088,35,2,1,Abnormal,Yes,5700000
Kodambakkam,1230,336,3,1,Normal Sale,Yes,8700000
Saidapet,1259,118,3,1,Normal Sale,NO,8400000
Adyar,1846,130,3,2,Normal Sale,NO,15400000
Thiruvanmiyur,949,39,2,2,Normal Sale,Yes,7500000
Kodambakkam,1292,9,3,2,Normal Sale,Yes,9500000
Perambur,979,34,2,1,Partial,NO,4400000
OMR,1288,91,2,1,Normal Sale,Yes,8000000
Guindy,1234,28,3,2,Normal Sale,NO,9400000
Egmore,1275,28,3,2,Abnormal,Yes,8400000
Adyar,1824,1000,4,2,Family,Yes,13900000
Chromepet,984,1000,1,2,Normal Sale,Yes,4800000
Porur,1059,275,3,1,Normal Sale,Yes,6300000
Adyar,2039,423,4,4,Normal Sale,Yes,18300000
Chromepet,1125,436,2,1,Partial,NO,5100000
Thiruvanmiyur,1388,187,3,1,Abnormal,Yes,9100000
Nungambakkam,1235,343,3,2,Abnormal,Yes,8800000
T Nagar,1441,29,3,4,Abnormal,Yes,11100000
Mylapore,1728,579,3,3,Normal Sale,Yes,15100000
Egmore,1118,352,3,1,Normal Sale,Yes,7600000
Tambaram,938,394,2,1,Normal Sale,NO,4100000
Guindy,1347,51,3,2,Abnormal,NO,9500000
Kodambakkam,1342,49,3,2,Partial,Yes,8900000
Velacherry,1138,208,3,1,Family,NO,7100000
T Nagar,1610,382,4,3,Normal Sale,NO,15600000
Chromepet,1264,255,3,2,Normal Sale,Yes,7000000
Guindy,1383,87,2,1,Normal Sale,Yes,10000000
Mylapore,1403,165,3,2,Partial,Yes,11000000
Anna Nagar,1708,44,3,4,Abnormal,Yes,12500000
Nungambakkam,1777,52,3,2,Abnormal,NO,12400000
Avadi,928,62,1,1,Normal Sale,Yes,3600000
